Brand,Title,Planet,People,Animals,Overall Rating,Description
Boob,Boob is a Swedish maternity and nursing clothes brand that aims to support you throughout your entire motherhood journey.,5 out of 5,3 out of 5,4 out of 5,Good,"Boob's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. It states it has a Code of Conduct but does not publicly share it. It sources its final stage of production from countries with high risk of labour abuse. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep.
Boob is rated 'Good' based on information from our own research.
Last Updated: June 2020"
dk active,dk active is an Australian activewear brand that seeks to never make you compromise your ethics for style and performance again.,3 out of 5,3 out of 5,5 out of 5,Good,"dk active's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It uses renewable energy in its supply chain to reduce its climate impact. There is no evidence it implements water reduction initiatives. It reuses all of its offcuts to minimise textile waste.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in Australia, a low risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces most of its supply chain including all of the final and second stages of production. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers.
Its animal rating is 'great'. It is listed by PETA as vegan.
dk active is rated 'Good' overall.
Last Updated: August 2019"
Yuki Threads,Yuki Threads is a premium Australian snowboarding apparel brand,5 out of 5,3 out of 5,4 out of 5,Good,"Yuki Threads's environment rating is 'great'. Its fabrics are certified by Bluesign. It uses a high proportion of eco-friendly materials including recycled materials. Its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production
Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It does not disclose where its final stage of production occurs. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It traces most of its supply chain.
Its animal rating is 'good'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather.
Yuki Threads is rated 'Good' overall.
Last Updated: September 2020"
Naja,Naja makes beautifully designed lingerie and helps educate and employ women through their Underwear for Hope program.,3 out of 5,4 out of 5,0 out of 5,Good,"Naja's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it minimises packaging. It reduces its water use by using waterless digital printing technology. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. It provides jobs for workers from disadvantaged communities. It sources its final stage of production from countries with extreme risk of labour abuse. It traces some of its supply chain including all of the final stage of production. It ensures payment of a living wage in the final stage of production.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Naja is rated 'Good' based on information from our own research.
Last Updated: September 2019"
HARA,HARA is a clothing label designed for you and our earth collectively.,4 out of 5,4 out of 5,0 out of 5,Good,"HARA's environment rating is 'good'. It reuses most of its offcuts to minimise textile waste. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in all of its products. There is no evidence it minimises packaging.
Its labour rating is 'good'. Its final stage of production is undertaken in Australia, a low risk country for labour rights. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
HARA is rated 'Good' overall.
Last Updated: September 2020"
FTLA Apparel,"For the Love of Animals Apparel is an eco-friendly, cruelty free & fashionable line of clothing for fur babies & their humans",3 out of 5,4 out of 5,5 out of 5,Good,"FTLA Apparel's environment rating is 'it's a start'. It uses a low proportion of eco-friendly materials such as organic cotton and recycled materials. It hand dyes its textiles and uses natural plant-based dyes to limit its use of hazardous chemicals. It manufactures all products locally by hand to reduce its carbon footprint and it creates products using a just-in-time system, creating less material waste in its supply chain. It does not mention specific water reduction initiatives or policies.
Its labour rating is 'good'. Its products are all made in-house by the owner of the business and a small team. However there is no information on how its materials are sourced and made.
Its animal rating is 'great'. It is uses 100% vegan materials and it publicly advocates for animal welfare.
FTLA Apparel is rated 'Good' based on information from our own research.
Last Updated: March 2017"
Pansy,Pansy is a California based basics brand that offers organic cotton underwear for all beautiful sizes.,4 out of 5,3 out of 5,0 out of 5,Good,"Pansy's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in all of its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces all of its supply chain. It visits its suppliers regularly.
>This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Pansy is rated 'Good' overall.
Last Updated: September 2020"
Purusha People,"Purusha People creates plant-based activewear, believing that safe, sustainable and transparent activewear is non-negotiable.",4 out of 5,4 out of 5,0 out of 5,Good,"Purusha People's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton There is no evidence it minimises packaging. It makes products by hand to reduce its climate impact. It uses low impact non-toxic dyes in all of its products.
Its labour rating is 'good'. All of its products are manufactured in-house by the owners. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Purusha People is rated 'Good' based on information from our own research.
Last Updated: June 2020"
CasaGIN,"CasaGin is a positive place, designed for those looking for a sustainable and conscious lifestyle where you can find products capable of conveying well-being and harmony.",5 out of 5,2 out of 5,0 out of 5,Good,"CasaGIN's environment rating is 'great'. It uses a high proportion of eco-friendly materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
CasaGIN is rated 'Good' overall.
Last Updated: August 2020"
Sundried,Sundried produces premium ethical activewear with a low carbon footprint,4 out of 5,4 out of 5,4 out of 5,Good,"Sundried's environment rating is 'good'. It uses a medium proportion of eco-friendly materials, including fabric made from recycled plastic and recycled coffee, and creates high-quality, long-lasting products. It manufactures all products locally to reduce its carbon footprint. Its use of some eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. Its final stage of production is undertaken in Portugal and Italy, medium risk countries for labour rights. It addresses workers' rights in a formal statement but does not mention a Code of Conduct, and does not mention its labour rights standards for first and second stages of production. It mentions paying a living wage but does not supply any more information. It traces suppliers in its supply chain but it is unclear how regularly it visits its suppliers at the final stage of production.
Its animal rating is 'good'. It does not use leather, angora, fur, down or exotic animal skin or hair. However it uses wool without specifying its sources.
Sundried is rated 'Good' based on information from our own research.
Last Updated: August 2017"
Dazey LA,Dazey LA is an art apparel and accessories brand that features hand drawn designs inspired by '70s posters and vintage graphic art.,4 out of 5,4 out of 5,4 out of 5,Good,"Dazey LA's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its carbon footprint. There is no evidence it implements water reduction initiatives. Its products are made to order to minimise textile waste.
Its labour rating is 'good'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it does have a formal statement covering workers rights. It ensures payment of a living wage in the final stage of production. It traces some of its supply chain including all of the final stage of production.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Dazey LA is rated 'Good' overall.
Last Updated: September 2020"
caur,"Caur is a French brand that believes in taking care of yourself and the planet, designing sportswear with recycled, organic, and recyclable technical fabrics.",4 out of 5,3 out of 5,0 out of 5,Good,"caur's environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in Portugal and Italy, medium risk countries for labour abuse . There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
caur is rated 'Good' overall.
Last Updated: August 2020"
Team Timbuktu,"Team Timbuktu curates high-performance waterproof raincoasts and sweat-wicking activewear, made from recycled plastic bottles.",4 out of 5,3 out of 5,4 out of 5,Good,"Team Timbuktu's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It uses renewable energy in its supply chain to reduce its climate impact. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers regularly.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Team Timbuktu is rated 'Good' overall.
Last Updated: September 2020"
MANDALA,Mandala ethical fair & organic yogawear,4 out of 5,4 out of 5,0 out of 5,Good,"MANDALA's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. Its factories are Global Organic Textile Standard (GOTS) certified organic certified. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It audits most of its suppliers.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
MANDALA is rated 'Good' overall.
Last Updated: September 2020"
TALA,TALA creates fresh and funky active and athleisure wear.,4 out of 5,3 out of 5,4 out of 5,Good,"TALA's environment rating is 'good'. It uses a high proportion of eco-friendly materials including upcycled materials. It uses recycled packaging. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Most of its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces most of its supply chain including all of the final and second stages of production. There is no evidence it ensures payment of a living wage in its supply chain. It audits some of its suppliers including all of the final stage of production.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
TALA is rated 'Good' based on information from our own research.
Last Updated: November 2019"
Finisterre,"Born from the needs of hardy British surfers, Finisterre designs functional and sustainable product for those that share our love of the sea.",4 out of 5,3 out of 5,4 out of 5,Good,"Finisterre's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton and it creates high-quality, long-lasting products. It has taken meaningful action to reduce its greenhouse gas emissions by reducing energy use in manufacturing. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. It sources from countries with high or extreme risk of labour abuse and it has its own Code of Conduct but does not disclose its details. It ensures that a medium proportion of its suppliers pay a living wage. It traces suppliers in all of its supply chain and its final stage of production is either independently audited or visited by the brand.
Its animal rating is 'good'. It does not use leather, angora, fur, down or exotic animal skin. It states that it uses wool from non-mulesed sheep.
Finisterre is rated 'Good' based on information from our own research.
Last Updated: April 2018"
Nomadic State of Mind,"Hand-crafted vegan sandals made of rope, up-cycled sail cloth, hemp, and recycled plastic bottles.",3 out of 5,4 out of 5,4 out of 5,Good,"Nomadic State of Mind's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including organic cotton. It makes products by hand to reduce its climate impact. It reuses all its offcuts to minimise textile waste. There is no evidence it implements water reduction initiatives.
Its labour rating is 'good'. It provides jobs for workers from disadvantaged communities in Nicaragua. It ensures payment of a living wage in the final stage of production. It traces some of its supply chain including all of the final stage of production.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Nomadic State of Mind is rated 'Good' based on information from our own research.
Last Updated: November 2019"
LNBF,"LNBF makes stylish, quality clothing for men and women using soft, bamboo-based textiles",3 out of 5,3 out of 5,5 out of 5,Good,"LNBF’s environmental rating is 'it's a start'. It uses non eco-friendly materials (bamboo viscose) as well as some eco-friendly materials (organic cotton, Tencel). It sources some material from Oeko-Tex Standard 100 certified mills. It does not have adequate policies on energy use and carbon emissions, but it reduces its carbon footprint by sourcing textiles from the same region it manufactures in. There is no evidence it has adequate policies or initiatives on water usage and wastewater management.
Its labour rating is 'it's a start'. It addresses workers’ rights in a formal statement but does not mention a Code of Conduct. It sources from countries with high or extreme risk of labour abuse but attempts to address those risks through third-party auditing. It mentions paying a fair wage but does not supply a living wage definition. It traces suppliers in all of its supply chain and uses third-party auditing.
Its animal rating is 'great'. It does not use any animal products.
LNBF is rated 'Good' based on information from our own research.
Last Updated: March 2017"
Luva Huva,Luva Huva produces beautiful lingerie designed and made in the UK.,4 out of 5,3 out of 5,0 out of 5,Good,"Luva Huva's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton and deadstock materials. It manufactures locally to reduce its carbon footprint. There is no evidence it minimises packaging. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its products are manufactured in-house by the owner and a small team. It traces most of its supply chain including all of the second stage of production. There is no evidence it ensures payment of a living wage in its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Luva Huva is rated 'Good' based on information from our own research.
Last Updated: June 2020"
Rudy Jude,"Naturally Dyed, Organic Kids Clothes, Made in the USA.",4 out of 5,2 out of 5,4 out of 5,Good,"Rudy Jude's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it implements water reduction initiatives. Its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals used in production.
Its labour rating is 'not good enough'. There is no evidence of a Code of Conduct. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour rights. It does not mention a living wage. There is no evidence of auditing any of its supply chain.
Its animal rating is 'good'. There is no evidence that it uses animal products but does not mention being vegan.
Rudy Jude is rated 'Good' based on information from our own research.
Last Updated: August 2018"
Howies,"howies is an active clothing company that believes in making higher quality, lower impact products for our sports and day-to-day lives.",4 out of 5,4 out of 5,3 out of 5,Good,"Howies environment rating is 'good'. It uses a high proportion of eco-friendly materials including GOTS certified organic cotton and it creates high-quality, long-lasting products. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. It sources from countries with high or extreme risk of labour abuse but attempts to address those risks by adopting the GOTS Code of Conduct. It ensures that a medium proportion of its suppliers pay a living wage. It traces suppliers in the final stage of its supply chain and most of its supply chain is either independently audited or visited by the brand.
Its animal rating is 'it's a start'. It does not use fur, down, agora or exotic animal skin or hair. It states that it uses wool from non-mulesed sheep. However it uses leather without stating its sources.
Howies is rated 'Good' based on information from our own research.
Last Updated: April 2018"
NoMiNoU,"NoMiNoU's activewear features collaborations with indigenous Canadian and international artists, adding a whole new dynamic to leggings, capris, shorts and more.",4 out of 5,3 out of 5,0 out of 5,Good,"NoMiNoU's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in Canada, a low risk country for labour abuse. There is no evidence it has a Code of Conduct. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
NoMiNoU is rated 'Good' overall.
Last Updated: September 2020"
VAUDE,VAUDE uses eco-friendly materials and has good policies to audit suppliers in its supply chain.,3 out of 5,4 out of 5,3 out of 5,Good,"VAUDE's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly material including recycled materials. There is no evidence it has set a greenhouse gas emissions reduction target. It is certified [bluesign] for 71% of its fabrics. It reuses some of its offcuts to minimise textile waste.
. Its labour rating is 'good'. Some of its supply chain is certified by Fair Wear Foundation including all of the final stage of production. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It ensures payment of a living wage in some of its supply chain. It traces most of its supply chain including all the final and most of the second stage of production. It discloses policies to protect suppliers in its supply chain from the impacts of COVID-19 but not workers.
Its animal rating is 'it's a start'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses leather. It states that it sources wool from non-mulesed sheep. It uses down accredited by the Responsible Down Standard. It does not use angora, exotic animal hair, fur or exotic animal skin. It traces most animal products to the first stage of production.
VAUDE is rated 'Good' overall.
Last Updated: August 2020"
Patagonia,Patagonia uses eco-friendly materials and has good policies to audit suppliers in its supply chain.,4 out of 5,3 out of 5,3 out of 5,Good,"Patagonia's environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled materials. It has conducted research with industry bodies on the impact of microplastics. There is no evidence it has a policy to prevent deforestation in the supply chain. It implements greenhouse gas emissions reduction activities throughout its supply chain to reduce its climate impact.
Its labour rating is 'it's a start'. Some of its supply chain is certified by FLA Workplace Code of Conduct and Fair Trade USA in the final stage of production. It received a score of 51-60% in the Fashion Transparency Index. It likely publishes detailed information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production and some information about the findings of supplier audits. It publishes some information about forced labour, gender equality or freedom of association. It has a project to improve wages in its supply chain but there is no evidence it ensures payment of a living wage in most of its supply chain. It discloses policies to protect suppliers in its supply chain from the impacts of COVID-19 but not workers.
Its animal rating is 'it's a start'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It uses down accredited by the Responsible Down Standard. It does not use angora, fur or exotic animal skin. It traces most animal products to the first stage of production.
Patagonia is rated 'Good' overall.
Last Updated: August 2020"
Marks & Spencer,Marks & Spencer has made a public commitment to reduce greenhouse gas emissions,4 out of 5,4 out of 5,3 out of 5,Good,"Marks & Spencer's environment rating is 'good'. It is a member of the Better Cotton Initiative. It uses some eco-friendly materials including recycled materials. It has set a science-based target to reduce greenhouse gases in its own operations by 95% by 2022 and reduce emissions in its supply chain by 30% by 2030. It has set a deadline to eliminate hazardous chemicals by 2020. It implements some water reduction initiatives.
Its labour rating is 'good'. Its facilities are audited and reported through Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It has a project to improve wages in part of its supply chain. It traces most of its supply chain including all of the final and second stages of production. It audits most of its supply chain including all of the final and second stages of production.
Its animal rating is 'it's a start'. It does not use fur, exotic animal skin or angora. It states that it sources wool from non-mulesed sheep. It uses leather and exotic animal hair.
Marks & Spencer is rated 'Good' based on information from our own research.
Last Updated: September 2019"
Boody,"Boody creates beautifully soft, everyday essentials designed to deliver pure comfort.",3 out of 5,4 out of 5,0 out of 5,Good,"Boody's environment rating is 'it's a start'. Its products are Oeko-Tex Standard 100 certified. It minimises textile waste through low-waste cutting techniques. There is no evidence it reduces its carbon and other greenhouse gas emissions. It reduces its water use by using a closed-loop system in its supply chain.
Its labour rating is 'good'. Its factories are certified by Worldwide Responsible Accredited Production - WRAP. It monitors health and safety issues in its supply chain.It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain including all of the final and second stages of production.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Boody is rated 'Good' based on information from our own research.
Last Updated: November 2019"
